Assessment Name,URL,Test Type,Remote Testing,Adaptive/IRT,assessment_length_modified
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,"B, C",Yes,No,19 minutes
Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,"B, K, P",Yes,No,16 minutes
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,"C, P",Yes,No,16 minutes
Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,"B, C",Yes,No,33 minutes
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"B, P",Yes,No,30 minutes
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,"B, P",Yes,No,20 minutes
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,"A, B, C",Yes,Yes,51 minutes
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,"A, B, K, P, S",Yes,Yes,57 minutes
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,"A, B, C",Yes,Yes,53 minutes
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,"P, B",Yes,No,20minutes minutes
